,,OUTPUT PERIOD 32,,,,,,,,,,,,,,,,,
32,JAPAN,MEXICO,CHINA,U.K.,GERMAN,U.S.,TOTAL,,,,,Period,Country,Demand - Units P1,,,,,
Sales Rev US P2,5492159.467,,,,,,,,,,,,,,,,,,
Del cost / unit Japan P2,2475.386728,,,,,,,,,,,,,,,,,,
Del cost / unit Mexico P2,349.6233118,,,,,,,,,,,,,,,,,,
Del cost / unit China P2,188.466944,,,,,,,,,,,,,,,,,,
Del cost / unit UK P2,18.36740046,,,,,,,,,,,,,,,,,,
Del cost / unit German P2,21.70692781,,,,,,,,,,,,,,,,,,
Del cost / unit US P2,27.52939463,,,,,,,,,,,,,,,,,,
Mkt Exp Japan P2,23999976,,,,,,,,,,,,,,,,,,
Mkt Exp Mexico P2,1199997.6,,,,,,,,,,,,,,,,,,
Mkt Exp China P2,1199996.8,,,,,,,,,,,,,,,,,,
Mkt Exp UK P2,119999.88,,,,,,,,,,,,,,,,,,
Mkt Exp Germany P2,239999.76,,,,,,,,,,,,,,,,,,
Mkt Exp US P2,660000,,,,,,,,,,,,,,,,,,
Import Tariffs Japan P2,27521569.56,,,,,,,,,,,,,,,,,,
Import Tariffs Mexico P2,0,,,,,,,,,,,,,,,,,,
Import Tariffs China P2,810908.0423,,,,,,,,,,,,,,,,,,
Import Tariffs UK P2,150770.502,,,,,,,,,,,,,,,,,,
Import Tariffs Germany P2,297675.3787,,,,,,,,,,,,,,,,,,
Import Tariffs US P2,0,,,,,,,,,,,,,,,,,,
Factory 1 location,3,,,,,,,,,,,,,,,,,,
Factory 2 location,6,,,,,,,,,,,,,,,,,,
Production Qty Actual P1,267884,,,,,,,,,,,,,,,,,,
Fixed Cost Actual P1,7656210.35,,,,,,,,,,,,,,,,,,
Variable Cost Actual P1,25485378.95,,,,,,,,,,,,,,,,,,
Production Qty Full now P1,267884,,,,,,,,,,,,,,,,,,
Fixed Cost Full Now P1,7656210.35,,,,,,,,,,,,,,,,,,
Variable Cost Full Now P1,25485378.95,,,,,,,,,,,,,,,,,,
Production Qty Next full P1,264536,,,,,,,,,,,,,,,,,,
Fixed Cost Next full P1,7639823.403,,,,,,,,,,,,,,,,,,
Variable Cost Next full P1,25997174.8,,,,,,,,,,,,,,,,,,
Production Qty Actual P2,320727,,,,,,,,,,,,,,,,,,
Fixed Cost Actual P2,1855104,,,,,,,,,,,,,,,,,,
Variable Cost Actual P2,6576205,,,,,,,,,,,,,,,,,,
Production Qty Full now P2,320727,,,,,,,,,,,,,,,,,,
Fixed Cost Full Now P2,1855104,,,,,,,,,,,,,,,,,,
Variable Cost Full Now P2,6576205,,,,,,,,,,,,,,,,,,
Production Qty Next full P2,316718,,,,,,,,,,,,,,,,,,
Fixed Cost Next full P2,1847086,,,,,,,,,,,,,,,,,,
Variable Cost Next full P2,6531553,,,,,,,,,,,,,,,,,,
Inventory Previous Qty P1,0,,,,,,,,,,,,,,,,,,
Inventory Previous Val P1,0,,,,,,,,,,,,,,,,,,
Inventory Prev cst/unt P1,0,,,,,,,,,,,,,,,,,,
Inventory Current Qty P1,0,,,,,,,,,,,,,,,,,,
Inventory Current Val P1,0,,,,,,,,,,,,,,,,,,
Inventory Curr cst/unt P1,0,,,,,,,,,,,,,,,,,,
Inventory Purchase Qty P1,32183,,,,,,,,,,,,,,,,,,
Inventory Purchase Val P1,4628433.7,,,,,,,,,,,,,,,,,,
Inventory Purch cst/unt P1,143.8161954,,,,,,,,,,,,,,,,,,
Inventory Previous Qty P2,0,,,,,,,,,,,,,,,,,,
Inventory Previous Val P2,0,,,,,,,,,,,,,,,,,,
Inventory Prev cst/unt P2,0,,,,,,,,,,,,,,,,,,
Inventory Current Qty P2,37261,,,,,,,,,,,,,,,,,,
Inventory Current Val P2,979522,,,,,,,,,,,,,,,,,,
Inventory Curr cst/unt P2,26.28811731,,,,,,,,,,,,,,,,,,
Inventory Purchase Qty P2,0,,,,,,,,,,,,,,,,,,
Inventory Purchase Val P2,0,,,,,,,,,,,,,,,,,,
Inventory Purch cst/unt P2,0,,,,,,,,,,,,,,,,,,
Ship Depreciation,145693,,,,,,,,,,,,,,,,,,
Ship Fixed Costs,271961,,,,,,,,,,,,,,,,,,
Ship Rental Costs,0,,,,,,,,,,,,,,,,,,
Ship Emerg-Rent Cost,0,,,,,,,,,,,,,,,,,,
Ship Marginal cost,615233.7,,,,,,,,,,,,,,,,,,
